;year;avgsentlen
FRA40462;1851;24.635602890833
FRA40312;1858;22.6580937972769
FRA20033;1759;27.3248275862069
FRA41163;1870;12.8614722004699
FRA41158;1869;18.5979147778785
FRA20078;1776;29.8153633070531
FRA00302;1894;17.9445904741878
FRA40136;1853;26.9505448449287
FRA40458;1866;22.1767838125666
FRA40568;1845;21.5090909090909
FRA40110;1861;25.9939473684211
FRA40459;1842;24.8777479044757
FRA40023;1872;23.2938005390836
FRA40305;1868;21.9580904801554
FRA01601;1887;19.1135118685332
FRA41165;1867;14.8430314406382
FRA41159;1869;19.1415378988754
FRA03802;1846;26.7288416860272
FRA40404;1890;38.8332315210751
FRA03702;1867;21.5740779329027
FRA20023;1791;46.8083132944006
FRA40349;1882;18.9691585652028
FRA40415;1888;28.4072545612511
FRA40372;1872;20.1018248175182
FRA40131;1849;28.445028932141
FRA40316;1879;20.1579168416632
FRA40135;1851;26.6899032173686
FRA20072;1758;37.6224366706876
FRA40607;1857;15.4027154663518
FRA40482;1878;19.2725581395349
FRA40059;1885;17.4864663057682
FRA40623;1852;22.9807325448302
FRA20036;1767;34.2356020942408
FRA02401;1904;20.7919605077574
FRA41006;1889;17.7403930771487
FRA07501;1897;18.6364392678869
FRA40734;1884;17.990158172232
FRA40315;1879;21.1403737505432
FRA02702;1883;22.3305785123967
FRA20022;1791;48.5376543209877
FRA20001;1794;25.328739359546
FRA40460;1842;25.6222056631893
FRA40424;1889;16.5201076469991
FRA40346;1880;17.5241488519398
FRA04901;1845;18.2657170923379
FRA40630;1863;16.7467822097617
FRA41005;1881;17.5164049136993
FRA03801;1843;28.0501474926254
FRA40369;1888;21.2797868290826
FRA40105;1887;20.9051220679751
FRA20003;1789;29.3208852005532
FRA20031;1768;29.1501632208923
FRA40461;1842;26.3491812980864
FRA04201;1904;20.0565110565111
FRA06701;1882;18.7584467977811
FRA40051;1881;28.3868194842407
FRA40031;1865;20.669408962979
FRA40178;1871;19.1572112825971
FRA40640;1884;55.2525879917184
FRA20051;1799;26.0576109936575
FRA40572;1841;26.2078815128273
FRA41009;1888;19.6219156790363
FRA40309;1858;22.2131691555323
FRA40647;1890;20.5322734499205
FRA40003;1857;36.2522816166884
FRA40638;1879;26.0731707317073
FRA03301;1866;22.6455974842767
FRA40416;1873;24.9776654024442
FRA40411;1887;27.5480814779725
FRA40642;1862;19.0669411405916
FRA40102;1891;26.4697872340426
FRA00602;1886;18.1993289614153
FRA40377;1878;21.1009771986971
FRA00502;1852;22.5037306958181
FRA02503;1879;26.6428571428571
FRA40033;1869;28.4115396875996
FRA40408;1886;26.940806811271
FRA40148;1888;21.2059591126577
FRA40641;1862;17.8550458715596
FRA41157;1870;22.4538124204272
FRA40174;1873;20.888806062865
FRA20013;1771;46.8795918367347
FRA40012;1868;18.8389513108614
FRA40171;1883;17.5415094339623
