;year;avgsentlen
FRA01801;1844.0;29.38707026434735
FRA40456;1859.0;22.104964921748515
FRA40440;1845.0;24.186599423631122
FRA40719;1890.0;18.614642786852983
FRA40373;1884.0;17.73725384407877
FRA20056;1777.0;26.930817610062892
FRA41199;1889.0;19.556676272814602
FRA02602;1878.0;22.614556482183474
FRA40742;1856.0;36.542325581395346
FRA40032;1869.0;23.01172529313233
FRA40405;1893.0;37.3780778395552
FRA40304;1877.0;24.298372513562388
FRA40083;1872.0;21.65921052631579
FRA20039;1797.0;38.886919620569145
FRA40727;1844.0;30.360118247782854
FRA20046;1788.0;22.39657282741738
FRA20091;1789.0;19.122736064708985
FRA40484;1874.0;21.191916075285405
FRA40318;1878.0;20.080378250591018
FRA01401;1877.0;16.791187739463602
FRA40410;1878.0;23.324135839902972
FRA40095;1870.0;20.574017284638973
FRA40128;1842.0;21.8181426106958
FRA40615;1843.0;18.22346676459787
FRA40060;1886.0;22.73902215231354
FRA02201;1888.0;20.765892653216596
FRA40088;1875.0;18.30719656283566
FRA20005;1778.0;30.236036036036037
FRA41173;1868.0;16.003908331852905
FRA40613;1881.0;19.751596638655464
FRA20074;1767.0;22.950807360120166
FRA20081;1774.0;17.114604462474645
FRA40648;1881.0;19.57412398921833
FRA40054;1887.0;19.119595216191353
FRA02901;1903.0;24.6680358476475
FRA03704;1840.0;25.857238158772514
FRA20093;1787.0;58.763448784082534
FRA40452;1844.0;21.75704505651966
FRA06401;1876.0;18.356729656768223
FRA40643;1862.0;17.912649164677806
FRA20085;1782.0;25.955964409591314
FRA04203;1908.0;21.83639705882353
FRA40081;1884.0;20.801326333241228
FRA40618;1859.0;17.642652586361194
FRA40442;1843.0;26.423707957342085
FRA41155;1866.0;18.498732955231084
FRA40423;1886.0;17.483538083538082
FRA20040;1765.0;36.06592427616926
FRA00102;1883.0;20.452395391146148
FRA01103;1890.0;22.099394987035435
FRA01302;1857.0;19.8860002780481
FRA20009;1751.0;40.26969696969697
FRA40627;1843.0;17.14540059347181
FRA40311;1874.0;18.943749342866155
FRA41170;1859.0;17.151556340899823
FRA40052;1885.0;17.239747243216453
FRA40718;1892.0;23.00438596491228
FRA40350;1881.0;18.60295119182747
FRA00303;1881.0;24.097051917558048
FRA02502;1897.0;33.43291505791506
FRA20028;1798.0;26.340167753960856
FRA00901;1867.0;19.26919552867876
FRA01501;1912.0;22.836056644880173
FRA40144;1899.0;26.074145712443585
FRA20032;1768.0;31.561099796334013
FRA40609;1850.0;15.824642362713428
FRA06901;1879.0;19.30259222333001
FRA40016;1882.0;28.91151054268925
FRA01202;1857.0;14.978874070577127
FRA40302;1858.0;23.65798941798942
FRA20043;1786.0;30.16062801932367
FRA20098;1765.0;28.461762988908347
